用户ID,购买次数,F值
100,8,2
1000001,1,1
1000011,2,1
1000014,2,1
100002,1,1
1000022,3,1
1000023,5,2
1000026,1,1
1000027,2,1
1000028,4,1
1000035,8,2
1000037,5,2
1000046,3,1
1000052,2,1
1000054,4,1
1000058,7,2
1000060,1,1
1000061,3,1
1000069,6,2
1000070,1,1
1000075,1,1
1000084,7,2
1000085,12,3
100009,2,1
1000099,2,1
1000103,4,1
100011,5,2
1000110,1,1
1000115,7,2
1000120,3,1
1000122,9,2
1000126,2,1
1000134,3,1
1000135,1,1
1000137,1,1
1000139,2,1
100015,2,1
1000151,3,1
1000152,9,2
1000154,1,1
1000165,2,1
1000169,1,1
1000174,1,1
1000176,3,1
1000177,2,1
1000182,1,1
1000186,1,1
1000188,3,1
1000190,3,1
1000191,5,2
1000194,1,1
100020,3,1
1000202,2,1
1000204,1,1
1000206,1,1
1000209,3,1
1000219,3,1
1000222,6,2
1000226,4,1
1000228,5,2
1000236,1,1
1000237,4,1
1000244,7,2
1000247,1,1
1000251,3,1
1000254,7,2
1000263,4,1
1000269,3,1
100027,3,1
1000274,2,1
1000280,2,1
1000281,2,1
1000282,1,1
1000283,1,1
1000284,2,1
1000291,2,1
1000294,1,1
1000296,1,1
10003,5,2
100030,4,1
1000301,1,1
1000303,2,1
1000304,3,1
1000309,2,1
1000313,5,2
1000316,2,1
1000317,2,1
1000318,1,1
1000319,1,1
1000322,2,1
1000328,1,1
1000332,1,1
1000333,3,1
1000335,8,2
1000339,2,1
1000343,5,2
1000346,2,1
1000349,8,2
1000354,5,2
1000364,1,1
1000369,3,1
1000374,3,1
1000375,3,1
1000382,3,1
1000383,1,1
100039,1,1
1000390,1,1
1000398,4,1
1000400,4,1
1000406,1,1
1000408,3,1
1000417,11,3
1000420,1,1
1000426,5,2
1000427,2,1
1000429,3,1
1000436,7,2
1000438,8,2
1000452,2,1
1000454,2,1
1000455,1,1
1000461,5,2
1000464,1,1
1000468,2,1
1000470,3,1
1000472,5,2
1000476,2,1
1000484,2,1
1000485,1,1
1000488,19,0
100049,4,1
1000490,2,1
1000495,7,2
1000497,1,1
100050,2,1
1000504,1,1
1000505,6,2
1000511,3,1
1000517,1,1
1000519,2,1
1000520,3,1
1000527,3,1
1000538,2,1
1000539,1,1
1000541,1,1
1000547,4,1
1000552,9,2
1000554,2,1
1000556,1,1
1000562,1,1
1000565,6,2
1000569,14,3
1000573,2,1
1000577,2,1
1000578,5,2
100058,1,1
1000580,2,1
1000581,3,1
1000582,2,1
1000584,2,1
1000587,1,1
1000588,2,1
100059,1,1
1000590,2,1
1000591,10,3
1000596,3,1
1000598,2,1
1000602,2,1
1000606,2,1
1000609,1,1
1000610,4,1
1000623,1,1
1000630,3,1
1000635,3,1
1000636,8,2
1000638,2,1
100064,3,1
1000640,5,2
1000641,7,2
1000647,1,1
1000650,1,1
1000656,12,3
1000659,4,1
1000664,5,2
1000676,3,1
100068,4,1
1000684,10,3
1000686,1,1
1000688,1,1
100069,3,1
1000694,3,1
1000697,1,1
1000701,4,1
1000703,2,1
1000709,1,1
100071,1,1
1000712,3,1
1000715,3,1
1000718,4,1
1000720,1,1
1000722,1,1
1000723,16,0
1000724,1,1
1000727,1,1
1000730,3,1
1000731,2,1
1000732,1,1
1000734,2,1
1000735,3,1
1000736,1,1
1000737,2,1
1000738,1,1
1000743,5,2
1000748,1,1
1000749,2,1
100075,2,1
1000751,1,1
1000759,5,2
1000761,3,1
1000763,5,2
1000764,7,2
1000772,1,1
1000779,2,1
1000786,2,1
1000792,5,2
1000793,6,2
1000798,4,1
10008,3,1
1000803,1,1
1000805,2,1
1000807,5,2
1000810,1,1
1000811,2,1
1000816,5,2
100082,2,1
1000828,1,1
1000836,4,1
1000839,3,1
1000840,1,1
1000843,31,4
100085,2,1
1000856,3,1
1000857,1,1
1000858,11,3
1000862,6,2
1000864,4,1
1000865,2,1
1000866,1,1
1000867,1,1
1000872,4,1
1000877,7,2
1000878,4,1
100088,2,1
1000884,2,1
1000896,2,1
10009,10,3
1000903,1,1
1000905,1,1
1000909,3,1
100091,3,1
1000911,5,2
1000916,2,1
