用户ID,最近购买时间,R值
1000011,2017-11-25,1
1000374,2017-11-25,1
1000556,2017-11-25,1
1000623,2017-11-25,1
1000709,2017-11-25,1
1001088,2017-11-25,1
100122,2017-11-25,1
1001343,2017-11-25,1
1001456,2017-11-25,1
1001641,2017-11-25,1
1001826,2017-11-25,1
1002253,2017-11-25,1
1002291,2017-11-25,1
1002308,2017-11-25,1
1002332,2017-11-25,1
1002423,2017-11-25,1
1002460,2017-11-25,1
1002980,2017-11-25,1
1002996,2017-11-25,1
1003124,2017-11-25,1
1003221,2017-11-25,1
1003298,2017-11-25,1
1003499,2017-11-25,1
1003685,2017-11-25,1
1003855,2017-11-25,1
1004087,2017-11-25,1
1004115,2017-11-25,1
1004192,2017-11-25,1
1004303,2017-11-25,1
1004427,2017-11-25,1
1005129,2017-11-25,1
1006126,2017-11-25,1
1006351,2017-11-25,1
1006925,2017-11-25,1
1007221,2017-11-25,1
1007314,2017-11-25,1
1007334,2017-11-25,1
1007396,2017-11-25,1
1007495,2017-11-25,1
1007595,2017-11-25,1
1007680,2017-11-25,1
1007712,2017-11-25,1
1007808,2017-11-25,1
100781,2017-11-25,1
1008415,2017-11-25,1
1008489,2017-11-25,1
1008737,2017-11-25,1
1008749,2017-11-25,1
1009023,2017-11-25,1
1009050,2017-11-25,1
1009558,2017-11-25,1
100970,2017-11-25,1
1009724,2017-11-25,1
1009860,2017-11-25,1
1009947,2017-11-25,1
1010050,2017-11-25,1
1010215,2017-11-25,1
1010263,2017-11-25,1
101056,2017-11-25,1
1010853,2017-11-25,1
1011062,2017-11-25,1
1011202,2017-11-25,1
1011217,2017-11-25,1
1011258,2017-11-25,1
1011402,2017-11-25,1
1011529,2017-11-25,1
1011911,2017-11-25,1
1011921,2017-11-25,1
1012313,2017-11-25,1
1012352,2017-11-25,1
1012467,2017-11-25,1
1012626,2017-11-25,1
10128,2017-11-25,1
1012883,2017-11-25,1
101296,2017-11-25,1
101300,2017-11-25,1
1013033,2017-11-25,1
101313,2017-11-25,1
1013133,2017-11-25,1
1013150,2017-11-25,1
1013313,2017-11-25,1
1013355,2017-11-25,1
101343,2017-11-25,1
1013511,2017-11-25,1
1013712,2017-11-25,1
1013754,2017-11-25,1
1013773,2017-11-25,1
1014150,2017-11-25,1
1014176,2017-11-25,1
1014715,2017-11-25,1
1015228,2017-11-25,1
10154,2017-11-25,1
1015659,2017-11-25,1
1015745,2017-11-25,1
1016154,2017-11-25,1
101638,2017-11-25,1
1016689,2017-11-25,1
1016710,2017-11-25,1
101674,2017-11-25,1
1016990,2017-11-25,1
1017049,2017-11-25,1
101738,2017-11-25,1
1017723,2017-11-25,1
101947,2017-11-25,1
102237,2017-11-25,1
102260,2017-11-25,1
102496,2017-11-25,1
102523,2017-11-25,1
102605,2017-11-25,1
102960,2017-11-25,1
103091,2017-11-25,1
103098,2017-11-25,1
103169,2017-11-25,1
103367,2017-11-25,1
103454,2017-11-25,1
103543,2017-11-25,1
103856,2017-11-25,1
103949,2017-11-25,1
103965,2017-11-25,1
103983,2017-11-25,1
104042,2017-11-25,1
104338,2017-11-25,1
104382,2017-11-25,1
104478,2017-11-25,1
104495,2017-11-25,1
104638,2017-11-25,1
104675,2017-11-25,1
105081,2017-11-25,1
105167,2017-11-25,1
105369,2017-11-25,1
105386,2017-11-25,1
105553,2017-11-25,1
105572,2017-11-25,1
105605,2017-11-25,1
105823,2017-11-25,1
105917,2017-11-25,1
105968,2017-11-25,1
105988,2017-11-25,1
106056,2017-11-25,1
106123,2017-11-25,1
106193,2017-11-25,1
106199,2017-11-25,1
106355,2017-11-25,1
106473,2017-11-25,1
107008,2017-11-25,1
107125,2017-11-25,1
107313,2017-11-25,1
107614,2017-11-25,1
107836,2017-11-25,1
107845,2017-11-25,1
107982,2017-11-25,1
108060,2017-11-25,1
108590,2017-11-25,1
108594,2017-11-25,1
108756,2017-11-25,1
108770,2017-11-25,1
108858,2017-11-25,1
10895,2017-11-25,1
108969,2017-11-25,1
10901,2017-11-25,1
109216,2017-11-25,1
109284,2017-11-25,1
109427,2017-11-25,1
109575,2017-11-25,1
109967,2017-11-25,1
110005,2017-11-25,1
110221,2017-11-25,1
110248,2017-11-25,1
110575,2017-11-25,1
110681,2017-11-25,1
110827,2017-11-25,1
110884,2017-11-25,1
111184,2017-11-25,1
111198,2017-11-25,1
111273,2017-11-25,1
111334,2017-11-25,1
111449,2017-11-25,1
111856,2017-11-25,1
112122,2017-11-25,1
112210,2017-11-25,1
112225,2017-11-25,1
112259,2017-11-25,1
112535,2017-11-25,1
112774,2017-11-25,1
112787,2017-11-25,1
112952,2017-11-25,1
11328,2017-11-25,1
113325,2017-11-25,1
113360,2017-11-25,1
113514,2017-11-25,1
113690,2017-11-25,1
113748,2017-11-25,1
113768,2017-11-25,1
113873,2017-11-25,1
114220,2017-11-25,1
114309,2017-11-25,1
114457,2017-11-25,1
114569,2017-11-25,1
114616,2017-11-25,1
114788,2017-11-25,1
115274,2017-11-25,1
115320,2017-11-25,1
115744,2017-11-25,1
1159,2017-11-25,1
115989,2017-11-25,1
116352,2017-11-25,1
116487,2017-11-25,1
116556,2017-11-25,1
116772,2017-11-25,1
116869,2017-11-25,1
117127,2017-11-25,1
117154,2017-11-25,1
118123,2017-11-25,1
118281,2017-11-25,1
118711,2017-11-25,1
118994,2017-11-25,1
119242,2017-11-25,1
119383,2017-11-25,1
119500,2017-11-25,1
119750,2017-11-25,1
11988,2017-11-25,1
119982,2017-11-25,1
120301,2017-11-25,1
120346,2017-11-25,1
120388,2017-11-25,1
120444,2017-11-25,1
12076,2017-11-25,1
12084,2017-11-25,1
120880,2017-11-25,1
121,2017-11-25,1
121285,2017-11-25,1
121330,2017-11-25,1
121445,2017-11-25,1
121475,2017-11-25,1
121531,2017-11-25,1
121572,2017-11-25,1
12178,2017-11-25,1
12197,2017-11-25,1
122342,2017-11-25,1
122405,2017-11-25,1
122560,2017-11-25,1
122657,2017-11-25,1
123151,2017-11-25,1
123243,2017-11-25,1
123447,2017-11-25,1
123473,2017-11-25,1
123493,2017-11-25,1
123798,2017-11-25,1
123922,2017-11-25,1
124170,2017-11-25,1
124236,2017-11-25,1
124469,2017-11-25,1
124515,2017-11-25,1
124563,2017-11-25,1
124578,2017-11-25,1
124631,2017-11-25,1
124723,2017-11-25,1
124744,2017-11-25,1
124832,2017-11-25,1
124942,2017-11-25,1
125318,2017-11-25,1
125326,2017-11-25,1
125437,2017-11-25,1
126017,2017-11-25,1
126195,2017-11-25,1
126625,2017-11-25,1
126695,2017-11-25,1
126707,2017-11-25,1
126873,2017-11-25,1
127306,2017-11-25,1
127458,2017-11-25,1
127506,2017-11-25,1
127538,2017-11-25,1
127539,2017-11-25,1
12758,2017-11-25,1
12764,2017-11-25,1
12819,2017-11-25,1
128270,2017-11-25,1
12830,2017-11-25,1
128362,2017-11-25,1
128446,2017-11-25,1
12849,2017-11-25,1
128557,2017-11-25,1
128657,2017-11-25,1
128705,2017-11-25,1
12885,2017-11-25,1
128861,2017-11-25,1
12892,2017-11-25,1
129001,2017-11-25,1
129634,2017-11-25,1
129786,2017-11-25,1
129847,2017-11-25,1
12991,2017-11-25,1
130208,2017-11-25,1
130440,2017-11-25,1
130802,2017-11-25,1
130901,2017-11-25,1
13101,2017-11-25,1
131282,2017-11-25,1
13141,2017-11-25,1
131512,2017-11-25,1
131773,2017-11-25,1
132070,2017-11-25,1
132165,2017-11-25,1
132293,2017-11-25,1
132384,2017-11-25,1
132401,2017-11-25,1
132499,2017-11-25,1
132503,2017-11-25,1
132539,2017-11-25,1
132577,2017-11-25,1
132725,2017-11-25,1
133003,2017-11-25,1
133121,2017-11-25,1
133153,2017-11-25,1
133200,2017-11-25,1
133666,2017-11-25,1
133921,2017-11-25,1
133932,2017-11-25,1
134089,2017-11-25,1
134103,2017-11-25,1
13420,2017-11-25,1
134337,2017-11-25,1
134423,2017-11-25,1
134724,2017-11-25,1
134812,2017-11-25,1
134921,2017-11-25,1
135229,2017-11-25,1
135293,2017-11-25,1
135766,2017-11-25,1
136218,2017-11-25,1
136278,2017-11-25,1
13639,2017-11-25,1
136443,2017-11-25,1
13655,2017-11-25,1
136631,2017-11-25,1
136683,2017-11-25,1
136726,2017-11-25,1
136948,2017-11-25,1
136981,2017-11-25,1
137040,2017-11-25,1
137154,2017-11-25,1
137211,2017-11-25,1
137238,2017-11-25,1
137489,2017-11-25,1
137666,2017-11-25,1
137691,2017-11-25,1
138047,2017-11-25,1
138073,2017-11-25,1
1381,2017-11-25,1
138165,2017-11-25,1
138262,2017-11-25,1
138789,2017-11-25,1
13906,2017-11-25,1
139163,2017-11-25,1
139443,2017-11-25,1
139619,2017-11-25,1
139667,2017-11-25,1
139953,2017-11-25,1
140273,2017-11-25,1
14038,2017-11-25,1
140515,2017-11-25,1
140576,2017-11-25,1
140614,2017-11-25,1
141026,2017-11-25,1
141215,2017-11-25,1
141292,2017-11-25,1
141651,2017-11-25,1
141858,2017-11-25,1
142353,2017-11-25,1
142399,2017-11-25,1
14259,2017-11-25,1
