用户ID,最近购买时间
1000001,2017/12/3
1000011,2017/11/25
1000014,2017/12/2
100002,2017/11/30
1000022,2017/11/27
1000023,2017/12/3
1000026,2017/11/27
1000027,2017/12/3
1000028,2017/12/3
1000035,2017/12/2
1000037,2017/12/1
1000046,2017/11/29
1000052,2017/11/29
1000054,2017/12/2
1000058,2017/12/1
1000060,2017/12/1
1000061,2017/12/3
1000069,2017/12/1
1000070,2017/11/28
1000075,2017/12/2
1000084,2017/12/3
1000085,2017/12/1
100009,2017/12/2
1000099,2017/11/30
1000103,2017/12/3
100011,2017/11/29
1000110,2017/11/30
1000115,2017/12/3
1000120,2017/12/3
1000122,2017/12/1
1000126,2017/11/27
1000134,2017/12/2
1000135,2017/11/28
1000137,2017/12/3
1000139,2017/12/3
100015,2017/11/30
1000151,2017/12/3
1000152,2017/12/2
1000154,2017/11/26
1000165,2017/12/2
1000169,2017/11/30
1000174,2017/11/30
1000176,2017/12/2
1000177,2017/11/30
1000182,2017/12/1
1000186,2017/11/30
1000188,2017/12/3
1000190,2017/12/2
1000191,2017/12/2
1000194,2017/11/29
100020,2017/11/30
1000202,2017/12/3
1000204,2017/11/26
1000206,2017/12/2
1000209,2017/11/28
1000219,2017/12/1
1000222,2017/11/29
1000226,2017/12/3
1000228,2017/11/30
1000236,2017/11/30
1000237,2017/12/1
1000244,2017/12/1
1000247,2017/11/28
1000251,2017/11/28
1000254,2017/12/2
1000263,2017/12/2
1000269,2017/12/3
100027,2017/12/1
1000274,2017/11/27
1000280,2017/12/3
1000281,2017/12/2
1000282,2017/11/27
1000283,2017/11/27
1000284,2017/11/26
1000291,2017/11/30
1000294,2017/11/30
1000296,2017/12/1
10003,2017/12/2
100030,2017/11/26
1000301,2017/11/30
1000303,2017/11/30
1000304,2017/12/3
1000309,2017/11/30
1000313,2017/12/3
1000316,2017/12/2
1000317,2017/11/26
1000318,2017/12/3
1000319,2017/12/3
1000322,2017/11/27
1000328,2017/12/3
1000332,2017/12/3
1000333,2017/12/2
1000335,2017/12/3
1000339,2017/12/3
1000343,2017/12/3
1000346,2017/12/3
1000349,2017/12/2
1000354,2017/12/3
1000364,2017/11/28
1000369,2017/12/2
1000374,2017/11/25
1000375,2017/12/3
1000382,2017/12/2
1000383,2017/12/1
100039,2017/12/3
1000390,2017/11/30
1000398,2017/12/3
1000400,2017/11/30
1000406,2017/12/3
1000408,2017/11/27
1000417,2017/12/3
1000420,2017/11/28
1000426,2017/12/2
1000427,2017/11/30
1000429,2017/12/3
1000436,2017/12/3
1000438,2017/12/3
1000452,2017/12/3
1000454,2017/11/30
1000455,2017/11/28
1000461,2017/12/3
1000464,2017/12/3
1000468,2017/11/27
1000470,2017/12/2
1000472,2017/12/1
1000476,2017/11/28
1000484,2017/12/3
1000485,2017/11/30
1000488,2017/12/3
100049,2017/12/3
1000490,2017/11/30
1000495,2017/12/2
1000497,2017/11/30
100050,2017/12/2
1000504,2017/12/1
1000505,2017/12/1
1000511,2017/12/3
1000517,2017/11/26
1000519,2017/11/27
1000520,2017/12/2
1000527,2017/11/30
1000538,2017/12/3
1000539,2017/12/1
