用户ID,购买次数
100,8
1000001,1
1000011,2
1000014,2
100002,1
1000022,3
1000023,5
1000026,1
1000027,2
1000028,4
1000035,8
1000037,5
1000046,3
1000052,2
1000054,4
1000058,7
1000060,1
1000061,3
1000069,6
1000070,1
1000075,1
1000084,7
1000085,12
100009,2
1000099,2
1000103,4
100011,5
1000110,1
1000115,7
1000120,3
1000122,9
1000126,2
1000134,3
1000135,1
1000137,1
1000139,2
100015,2
1000151,3
1000152,9
1000154,1
1000165,2
1000169,1
1000174,1
1000176,3
1000177,2
1000182,1
1000186,1
1000188,3
1000190,3
1000191,5
1000194,1
100020,3
1000202,2
1000204,1
1000206,1
1000209,3
1000219,3
1000222,6
1000226,4
1000228,5
1000236,1
1000237,4
1000244,7
1000247,1
1000251,3
1000254,7
1000263,4
1000269,3
100027,3
1000274,2
1000280,2
1000281,2
1000282,1
1000283,1
1000284,2
1000291,2
1000294,1
1000296,1
10003,5
100030,4
1000301,1
1000303,2
1000304,3
1000309,2
1000313,5
1000316,2
1000317,2
1000318,1
1000319,1
1000322,2
1000328,1
1000332,1
1000333,3
1000335,8
1000339,2
1000343,5
1000346,2
1000349,8
1000354,5
1000364,1
1000369,3
1000374,3
1000375,3
1000382,3
1000383,1
100039,1
1000390,1
1000398,4
1000400,4
1000406,1
1000408,3
1000417,11
1000420,1
1000426,5
1000427,2
1000429,3
1000436,7
1000438,8
1000452,2
1000454,2
1000455,1
1000461,5
1000464,1
1000468,2
1000470,3
1000472,5
1000476,2
1000484,2
1000485,1
1000488,19
100049,4
1000490,2
1000495,7
1000497,1
100050,2
1000504,1
1000505,6
1000511,3
1000517,1
1000519,2
1000520,3
1000527,3
1000538,2
1000539,1
1000541,1
1000547,4
1000552,9
1000554,2
1000556,1
1000562,1
1000565,6
1000569,14
1000573,2
1000577,2
1000578,5
100058,1
1000580,2
1000581,3
1000582,2
1000584,2
1000587,1
1000588,2
100059,1
1000590,2
1000591,10
1000596,3
1000598,2
1000602,2
1000606,2
1000609,1
1000610,4
1000623,1
1000630,3
1000635,3
1000636,8
1000638,2
100064,3
1000640,5
1000641,7
1000647,1
1000650,1
1000656,12
1000659,4
1000664,5
1000676,3
100068,4
1000684,10
1000686,1
1000688,1
100069,3
1000694,3
1000697,1
1000701,4
1000703,2
1000709,1
100071,1
1000712,3
1000715,3
1000718,4
1000720,1
1000722,1
1000723,16
1000724,1
1000727,1
1000730,3
1000731,2
1000732,1
1000734,2
1000735,3
1000736,1
1000737,2
1000738,1
1000743,5
1000748,1
1000749,2
100075,2
1000751,1
1000759,5
1000761,3
1000763,5
1000764,7
1000772,1
1000779,2
1000786,2
1000792,5
1000793,6
1000798,4
10008,3
1000803,1
1000805,2
1000807,5
1000810,1
1000811,2
1000816,5
100082,2
1000828,1
1000836,4
1000839,3
1000840,1
1000843,31
100085,2
1000856,3
1000857,1
1000858,11
1000862,6
1000864,4
1000865,2
1000866,1
1000867,1
1000872,4
1000877,7
1000878,4
100088,2
1000884,2
1000896,2
10009,10
1000903,1
1000905,1
1000909,3
100091,3
1000911,5
1000916,2
1000917,2
1000919,1
100092,1
1000922,1
1000923,1
1000926,4
1000929,3
100093,1
1000935,7
1000936,2
1000937,4
100094,4
1000945,1
100095,1
1000950,6
1000958,3
1000959,1
100096,2
1000962,3
1000964,1
1000965,11
1000970,1
1000972,2
1000973,2
1000984,1
1000987,2
1000989,4
1000991,5
1000997,4
1001005,2
1001008,2
1001009,3
100101,28
1001017,2
1001018,1
1001021,2
1001023,1
1001024,2
1001025,2
1001026,6
100103,1
1001030,1
1001037,2
1001044,11
1001045,7
1001047,1
1001048,1
1001049,3
100105,3
1001050,4
1001051,5
1001052,1
1001054,6
100106,1
1001065,4
100107,3
1001081,5
1001082,5
1001084,3
1001088,2
1001089,3
100109,1
1001092,2
1001094,2
1001099,5
1001102,4
1001103,4
1001104,2
1001105,1
1001108,1
1001111,4
1001114,4
1001120,4
1001121,1
1001128,3
100113,3
1001131,4
1001138,2
1001139,17
1001145,5
1001148,1
1001151,3
1001154,1
100116,13
1001164,1
1001165,1
1001174,1
1001178,4
1001185,2
1001186,4
1001198,1
1001199,10
1001201,2
100121,5
1001212,4
100122,1
1001228,1
1001230,2
1001232,4
1001235,4
1001236,1
1001241,6
1001242,2
1001245,2
1001248,3
1001261,1
1001265,1
1001268,3
1001270,2
1001274,5
100128,2
1001286,2
100129,3
1001297,1
1001301,1
1001305,15
1001310,11
1001313,1
1001314,1
1001319,1
1001322,15
1001326,5
1001327,1
1001332,14
1001335,4
100134,14
1001343,3
1001346,1
1001347,3
1001348,5
1001352,2
1001359,2
1001360,1
1001369,2
1001373,5
1001375,10
1001378,8
1001381,2
1001390,1
1001392,5
1001402,3
1001404,2
1001409,2
100141,2
1001414,3
1001419,7
1001420,3
1001421,2
1001423,3
1001438,1
1001440,4
1001441,2
1001442,3
1001443,1
1001444,3
1001454,11
1001456,1
100146,4
1001460,1
1001461,6
1001463,5
1001466,5
1001472,5
1001476,2
1001478,4
1001482,1
1001489,1
1001492,1
1001505,2
1001512,1
1001515,5
1001521,1
1001524,1
1001531,2
1001532,3
1001534,1
1001537,8
1001540,3
1001541,1
1001543,1
1001545,10
100155,4
1001551,1
1001557,1
1001558,1
1001562,2
1001563,2
1001566,7
1001569,2
100157,2
1001578,2
1001584,2
1001586,1
1001590,1
1001591,1
1001595,1
1001596,4
1001597,2
1001600,4
1001601,2
1001606,1
1001608,1
1001609,1
1001610,2
1001613,1
1001615,6
1001617,1
1001618,1
100162,26
1001625,6
1001626,2
1001628,1
1001629,9
1001639,3
100164,1
1001641,2
1001645,1
1001652,4
1001654,2
1001656,1
1001662,9
1001667,2
1001669,5
100167,1
1001671,1
1001673,2
1001676,3
100168,2
1001681,6
1001686,1
1001688,1
1001689,1
1001697,1
1001698,3
1001699,1
1001700,2
1001704,1
1001711,5
1001712,3
1001719,1
100173,8
1001731,4
1001737,3
100174,3
1001741,2
1001744,1
1001746,9
1001747,2
1001757,2
1001758,3
1001764,2
1001769,3
100177,3
1001771,1
1001772,4
1001781,2
1001782,4
1001783,4
1001784,2
1001788,3
100179,4
1001791,2
1001792,1
1001799,2
1001800,1
1001801,4
1001803,2
1001804,4
1001806,1
1001807,9
1001809,1
100181,1
1001813,2
1001820,2
1001823,1
1001826,1
1001829,4
